headshot,player_id,player,team,games,carries,rush_yards,rush_tds,yards_per_carry,epa,wpa,success_rate,first_downs,targets,receptions,rec_yards,rec_tds,yards_per_reception,yac,catch_rate,name_team,full_pos
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zorqrtlrizlltgd6pnob",00-0034115,J.Wilson,MIA,3,10,44,0,4.4,-2.227306277161631,-0.08315372467041016,0.5,2,3,3,19,0,6.333333333333333,19,1,J.Wilson (MIA),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyobqe3w5eypevsk3f2b",00-0034184,G.Edwards,LAC,10,91,297,2,3.2637362637362637,-16.456482876844508,-0.18899202660713943,0.3956043956043956,14,3,2,3,0,1.5,4,0.6666666666666666,G.Edwards (LAC),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yeoyrlaf9hlvowj6fdio",00-0034208,M.Boone,CAR,2,6,21,0,3.5,-2.0329821208142675,0.032099045885843225,0.3333333333333333,1,NA,NA,NA,NA,NA,NA,NA,M.Boone (CAR),Running Back
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8ib0haur75wrhqrbtyo",00-0034791,N.Chubb,CLE,8,104,332,3,3.1923076923076925,-22.1313103893861,-0.48621154955003876,0.33653846153846156,17,11,5,31,1,6.2,31,0.45454545454545453,N.Chubb (CLE),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ugiuanl8bf6uoya5mgid",00-0034844,S.Barkley,PHI,14,291,1694,12,5.821305841924398,29.496065372279762,1.2097460405323628,0.44329896907216493,68,41,31,276,2,8.903225806451612,244,0.7560975609756098,S.Barkley (PHI),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",00-0034972,A.Mattison,LV,11,109,343,3,3.146788990825688,-22.565554504823062,-0.8084046474330392,0.3302752293577982,22,36,28,248,1,8.857142857142858,259,0.7777777777777778,A.Mattison (LV),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jeeq17ah67zxc6vdamhk",00-0034975,J.Hill,BAL,14,49,193,1,3.938775510204082,-5.573611173138488,0.04609321442800862,0.3877551020408163,13,53,42,383,3,9.119047619047619,438,0.7924528301886793,J.Hill (BAL),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lvyjbie3d0ro8ohgphe0",00-0035243,M.Sanders,CAR,10,39,139,1,3.5641025641025643,-8.844013765401824,-0.1110156468671194,0.41025641025641024,9,26,21,98,1,4.666666666666667,137,0.8076923076923077,M.Sanders (CAR),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wz8mp8xb5bdspcxosreh",00-0035250,D.Singletary,NYG,12,99,382,4,3.8585858585858586,-11.5748825130239,-0.30012824716510045,0.36363636363636365,21,24,19,107,1,5.631578947368421,171,0.7916666666666666,D.Singletary (NYG),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/koxn5qhfnsgvnqfqfmpp",00-0035261,T.Pollard,TEN,14,245,982,5,4.0081632653061225,-31.52765418755007,-0.48075141043107916,0.3510204081632653,49,60,39,233,0,5.9743589743589745,207,0.65,T.Pollard (TEN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn5kacxm99pb95u8dle1",00-0035311,M.Gaskin,MIN,2,3,-1,0,-0.3333333333333333,-2.2370216741692275,-0.010519981384277344,0,0,1,1,11,0,11,13,1,M.Gaskin (MIN),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zdedn4xqr2jy6mddh5pb",00-0035537,Ty.Johnson,BUF,10,29,154,1,5.310344827586207,2.8466127665014938,0.06265009939670563,0.5862068965517241,10,22,16,275,3,17.1875,156,0.7272727272727273,Ty.Johnson (BUF),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfohmdfiai96uqcl7c03",00-0035567,C.Reynolds,DET,4,12,51,0,4.25,-1.9989235189277679,1.6427040100097656e-4,0.3333333333333333,3,NA,NA,NA,NA,NA,NA,NA,C.Reynolds (DET),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eg1e7va024emnbm55got",00-0035594,T.Homer,CHI,3,6,23,0,3.8333333333333335,0.10105366277275607,0.004072291631018743,0.6666666666666666,2,3,3,11,0,3.6666666666666665,10,1,T.Homer (CHI),Running Back
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbe2eojaxid4n3pmo0rj",00-0035628,D.Johnson,JAX,9,30,117,0,3.9,0.25213241955148114,-0.05778011806978611,0.3333333333333333,6,13,8,77,0,9.625,82,0.6153846153846154,D.Johnson (JAX),Running Back
