headshot,player_id,player,position_group,team,games,targets,receptions,yards,tds,yards_per_reception,yac,air_yards,adot,catch_rate,yac_per_reception,epa,wpa,success_rate,epa_per_target,target_share,air_yards_share,wopr,name_team,full_pos
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wyxfkarcjgqdz3pl8nnr",00-0031549,N.Agholor,WR,BAL,6,15,7,114,0,16.285714285714285,67,189,12.6,0.4666666666666667,9.571428571428571,3.2500819886714405,0.1094185933470726,0.3333333333333333,0.21667213257809603,0.0847457627118644,0.1395864106351551,0.22482913151240516,N.Agholor (BAL),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jazo8egu5luwyxxcpjh8",00-0031585,M.Pruitt,TE,PIT,1,3,1,9,0,9,1,11,3.6666666666666665,0.3333333333333333,1,-0.3964500774163753,-0.020211905241012573,0.3333333333333333,-0.13215002580545843,0.018518518518518517,0.008950366151342554,0.03404303408371756,M.Pruitt (PIT),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/to2qwuffjnjlouctglsl",00-0031588,S.Diggs,WR,HOU,6,50,37,392,3,10.594594594594595,145,387,7.74,0.74,3.918918918918919,17.806143497470345,0.428667909598456,0.56,0.3561228699494069,0.22522522522522523,0.23859432799013564,0.5048538674309327,S.Diggs (HOU),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t8tpgts9nlhw4uaqcb7x",00-0031690,E.Tomlinson,TE,LAC,1,1,0,0,0,NA,0,4,4,0,NA,-0.6601722548948601,-0.03264260292053223,0,-0.6601722548948601,0.007874015748031496,0.004132231404958678,0.014703585605518318,E.Tomlinson (LAC),Receiver/Tight End
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mh4cvggohuakwwhobzrk",00-0031763,D.Carter,WR,CHI,3,15,7,60,0,8.571428571428571,31,144,9.6,0.4666666666666667,4.428571428571429,1.037231783324387,0.029947355389595032,0.5333333333333333,0.06914878555495912,0.07425742574257425,0.0962566844919786,0.1787658177582464,D.Carter (CHI),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rfysbrjrvfdr72cx8who",00-0031941,J.Crowder,WR,WAS,1,1,1,5,0,5,8,-3,-3,1,8,0.16020503407344222,0.005182117223739624,1,0.16020503407344222,0.005847953216374269,-0.002457002457002457,0.007052028104659684,J.Crowder (WAS),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mr4h7vx02uwpr7xlfk6y",00-0032128,C.Conley,WR,SF,2,3,1,4,0,4,0,65,21.666666666666668,0.3333333333333333,0,-1.5513561287662014,-0.047632794827222824,0,-0.5171187095887338,0.016216216216216217,0.03595132743362832,0.049490253527864146,C.Conley (SF),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yz9p4pfwr0iyakhnwj4z",00-0032211,T.Lockett,WR,SEA,6,43,26,339,1,13.038461538461538,76,381,8.86046511627907,0.6046511627906976,2.923076923076923,9.848736384748172,0.43862710539370053,0.6046511627906976,0.22904038104065516,0.16996047430830039,0.22828040742959857,0.41473699666316954,T.Lockett (SEA),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dphqvpkeselgrselrvma",00-0032385,S.Shepard,WR,TB,3,11,7,78,1,11.142857142857142,16,150,13.636363636363637,0.6363636363636364,2.2857142857142856,6.129702164209448,0.07457672537939275,0.5454545454545454,0.557245651291768,0.05789473684210526,0.14231499051233396,0.18646259862179165,S.Shepard (TB),Receiver/Tight End
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jp2z8s6pcanbitupycwc",00-0032392,A.Hooper,TE,NE,6,17,8,82,1,10.25,69,86,5.0588235294117645,0.47058823529411764,8.625,-3.629672292045364,-0.09593978248949742,0.35294117647058826,-0.21351013482619788,0.09659090909090909,0.0735042735042735,0.1963393550893551,A.Hooper (NE),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/srrlkx2mydsb8gfco6fp",00-0032394,N.Vannett,TE,TEN,3,5,4,20,1,5,14,6,1.2,0.8,3.5,0.42688936518970877,0.039184083518422286,0.6,0.08537787303794175,0.035211267605633804,0.0056022408963585435,0.056738470035901684,N.Vannett (TEN),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hogsyuf9rqnzydmhbsht",00-0032464,K.Raymond,WR,DET,3,11,8,109,0,13.625,76,77,7,0.7272727272727273,9.5,2.4711574397515506,0.031018376350402832,0.5454545454545454,0.22465067634105004,0.0718954248366013,0.07057745187901009,0.15724735357020903,K.Raymond (DET),Receiver/Tight End
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkcncqfwusv19fah3mbt",00-0032688,R.Chosen,WR,MIA,1,4,1,5,0,5,1,47,11.75,0.25,1,-8.406382423301693,-0.09658775886055082,0,-2.1015956058254233,0.024539877300613498,0.03900414937759336,0.0641127205152356,R.Chosen (MIA),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lakf0xue1qqb7ed4p6ge",00-0032775,D.Robinson,WR,LA,5,26,12,189,1,15.75,20,365,14.038461538461538,0.46153846153846156,1.6666666666666667,6.454122352532664,0.15106804489903147,0.5,0.24823547509741017,0.14689265536723164,0.2777777777777778,0.41478342749529196,D.Robinson (LA),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ttifog0hjxprlhkagugu",00-0033009,T.Boyd,WR,TEN,5,20,13,127,0,9.76923076923077,59,139,6.95,0.65,4.538461538461538,4.558575219940394,0.07991485967068002,0.5,0.2279287609970197,0.14084507042253522,0.12978524743230627,0.3021172788364172,T.Boyd (TEN),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gdwjlpbkenmnsibawkht",00-0033040,T.Hill,WR,MIA,5,41,23,286,1,12.434782608695652,140,462,11.268292682926829,0.5609756097560976,6.086956521739131,-1.3255346551373806,-0.04502949460436623,0.3170731707317073,-0.03233011353993611,0.25153374233128833,0.38340248962655604,0.6456823562355217,T.Hill (MIA),Receiver/Tight End
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdjob9akppefyo7py5tj",00-0033090,H.Henry,TE,NE,6,31,19,221,1,11.631578947368421,99,190,6.129032258064516,0.6129032258064516,5.2105263157894735,5.051718139432801,-0.3263480873952427,0.5161290322580645,0.1629586496591226,0.17613636363636365,0.1623931623931624,0.37787975912975913,H.Henry (NE),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f4orwwthvtcyd3vfqjvs",00-0033217,M.Alie-Cox,TE,IND,5,11,7,100,1,14.285714285714286,32,107,9.727272727272727,0.6363636363636364,4.571428571428571,7.968076117171414,0.2232854081506448,0.5454545454545454,0.7243705561064921,0.05913978494623656,0.05538302277432712,0.12747779336138382,M.Alie-Cox (IND),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ievumbznrtys9b2esphz",00-0033246,J.Mundt,TE,MIN,5,14,9,75,1,8.333333333333334,28,63,4.5,0.6428571428571429,3.111111111111111,7.742234695004299,0.06108214839973791,0.5714285714285714,0.5530167639288786,0.10144927536231885,0.049723756906077346,0.18698054287773241,J.Mundt (MIN),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mq62ulflifrpjrcyknbj",00-0033282,C.Samuel,WR,BUF,6,18,12,92,0,7.666666666666667,46,110,6.111111111111111,0.6666666666666666,3.8333333333333335,-3.4127871504470777,-0.15082020698173437,0.2777777777777778,-0.18959928613594876,0.11320754716981132,0.07930785868781542,0.2253268218361878,C.Samuel (BUF),Receiver/Tight End
"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivkrikewqqdllzvano8h",00-0033288,G.Kittle,TE,SF,5,37,28,283,5,10.107142857142858,97,253,6.837837837837838,0.7567567567567568,3.4642857142857144,17.80994490487501,0.3024408013015417,0.6216216216216216,0.4813498622939192,0.2,0.13993362831858408,0.3979535398230089,G.Kittle (SF),Receiver/Tight End
"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vrovcaqql9p6xsycko83",00-0033307,K.Bourne,WR,NE,2,3,3,15,0,5,15,0,0,1,5,0.03817086527124047,0.014111101627349854,0.6666666666666666,0.012723621757080158,0.017045454545454544,0,0.025568181818181816,K.Bourne (NE),Receiver/Tight End
